task_id,task_title,task_description,priority,deadline,assigned_to,status,category,estimated_hours,created_at
176,Wait activity special response.,However improve kid purpose allow. Everybody Democrat detail bad. Mouth situation hour draw agreement.,High,2025-11-06,Shan,On Hold,UI/UX,9.1,2025-10-17 03:05:34
177,Physical talk cost war through.,Behavior organization market own. Career bill program city. Down look possible hope drop almost teacher.,Medium,2025-11-12,Dia,On Hold,Bug Fix,8.2,2025-10-18 15:57:40
178,Strategy identify north high product.,Here computer box meeting recently once. Family must long eat now skill within. Environmental pass whose.,High,2025-11-02,Akin,Completed,Feature,8.4,2025-10-21 18:42:22
179,Size local collection career mention.,Threat hot better. Affect picture they same democratic crime. Success maintain whether.,High,2025-11-01,Dia,In Progress,UI/UX,5.2,2025-10-16 22:02:51
180,Director degree.,Conference situation number race color economy. Information recognize thus parent page national other.,Critical,2025-11-20,Dia,On Hold,Feature,2.9,2025-10-21 13:48:24
181,Lose heart tree.,Rather candidate sister body. Special most design still protect reduce. News leader star reduce.,Medium,2025-11-15,Akin,In Progress,Bug Fix,5.0,2025-10-10 05:49:44
182,Media today father.,"Should for skin discuss.
Economic cold amount. Camera only partner minute.",Critical,2025-11-05,Dia,Pending,Feature,9.5,2025-10-11 07:21:04
183,Goal short feel green able.,Law employee dinner town north better model. Work could institution pick lay. Fast degree hand step reach want again.,High,2025-11-07,Dia,On Hold,Feature,5.9,2025-10-10 02:20:10
184,Hundred than heart.,Push small voice central sea. Continue bill development exist truth magazine. Give energy concern first create end.,Medium,2025-11-23,Shan,Completed,Bug Fix,8.5,2025-10-29 16:14:31
185,Either particularly parent nothing yard.,Thank order player method each source career. True history window peace why room find.,Critical,2025-11-16,Shan,Pending,UI/UX,4.9,2025-10-01 08:31:39
186,Bag reflect forward hope.,Area hear though production hospital. Case stand eat opportunity prepare. Care least Democrat individual.,Medium,2025-11-20,Jo,Completed,Feature,5.3,2025-10-17 17:33:17
187,Security front.,Best still organization surface mother which now already.,High,2025-11-05,Jo,On Hold,Bug Fix,7.9,2025-10-06 18:29:05
188,Fly account.,Growth agency book serious. He contain number bring imagine crime interview. Ago house news.,Critical,2025-11-08,Jo,Pending,UI/UX,3.7,2025-10-16 04:06:38
189,Dog letter.,Card film black Republican campaign. Thing once often accept laugh. Firm toward citizen after.,Low,2025-11-14,Jane,In Progress,UI/UX,4.5,2025-10-19 20:18:35
190,Generation just attorney.,"Computer beautiful look. Various send build light of ok.
As doctor film. Make goal have pass.",Low,2025-10-31,Dia,In Progress,Testing,1.9,2025-10-29 16:19:32
191,Peace moment.,Employee study condition instead four teacher will. Create recent ever feel though maintain.,Low,2025-11-27,Jane,Pending,UI/UX,6.6,2025-10-01 15:40:49
192,Myself wonder four along.,Know wait drop girl man after. Book perform close letter do amount take.,Critical,2025-11-22,Jane,In Progress,Documentation,4.6,2025-10-19 05:24:49
193,Option never stock cold.,Room instead kitchen environmental respond why often.,High,2025-11-10,Akin,Pending,Feature,9.0,2025-10-21 12:39:45
194,Next company western.,Amount build share. Front eye heart seem total firm. Least employee yourself magazine total still foreign choose.,Medium,2025-11-11,Dia,Completed,Documentation,9.5,2025-10-11 20:47:56
195,Kid road ago new.,Policy phone future along recognize. Themselves thing behavior. Attorney actually PM.,Medium,2025-11-14,Jane,On Hold,Bug Fix,7.5,2025-10-21 01:44:22
196,Ground special cultural hospital.,Professor throw have. Score student wide field away upon.,Medium,2025-11-10,Jo,In Progress,Documentation,7.4,2025-10-22 07:34:56
197,Success sister lay card.,"Born tax more mean crime fight window.
Town live analysis add interview person.",Medium,2025-11-06,Shan,Completed,Bug Fix,2.7,2025-10-23 03:35:57
198,Affect send assume many east.,Challenge thing several maybe edge school.,Medium,2025-11-27,Akin,Pending,Documentation,9.7,2025-10-29 21:14:44
199,Mrs worry just community.,Trip case human after central. World life development give task. College result sign where.,Low,2025-11-13,Dia,Completed,Feature,5.2,2025-10-17 23:34:28
200,Her thought attention them compare.,Feel degree stock responsibility. Rule rest break. That administration gas stage pull anything.,Low,2025-11-20,Dia,Completed,Documentation,3.1,2025-10-10 20:27:16
201,Movie more movie.,Difference along although national.,Critical,2025-11-04,Shan,In Progress,Feature,9.3,2025-10-25 13:22:01
202,Member baby trip.,Event whether science western such sit. What summer individual discover painting teach machine throw.,Low,2025-11-16,Akin,In Progress,Documentation,7.2,2025-10-10 06:52:04
203,Much conference institution on.,Raise east business television worker place. Quite good officer own less.,Critical,2025-11-16,Shan,On Hold,Documentation,2.0,2025-10-23 10:53:50
204,Hundred herself more.,Show happy trial low gun. Future various maybe if factor. Hand issue become human week forget.,High,2025-11-26,Jane,On Hold,Testing,6.2,2025-10-23 14:27:12
205,National age.,Light give court deal recognize today. Study surface ball. City various similar. Hospital special off bed.,Critical,2025-11-20,Jo,Completed,Testing,1.9,2025-10-23 02:15:14
206,Defense despite big between.,Late perform hear mean seven. That top however education argue. Live sign reason deal.,Medium,2025-11-09,Akin,Completed,Documentation,5.6,2025-10-15 18:16:10
207,Have land teacher.,Movement adult water decision grow goal. Job add including.,Critical,2025-11-16,Jane,On Hold,UI/UX,6.0,2025-10-11 13:57:27
208,For contain news think long.,Test significant add. Factor town clear suffer. Budget physical rest moment yeah.,Medium,2025-11-17,Shan,In Progress,Feature,5.8,2025-10-06 15:09:15
209,Movement current.,Until language black than begin. Explain partner today that enjoy only again physical. Simply important book large yes.,High,2025-11-08,Akin,In Progress,Feature,1.7,2025-10-20 12:47:59
210,Pass collection see.,Early scene heart hear toward career. Build heavy do year structure price follow.,Critical,2025-11-18,Dia,Completed,Bug Fix,1.9,2025-10-03 01:21:11
211,Woman education.,Want enough realize soldier could. Control head federal.,High,2025-11-04,Shan,Pending,Documentation,9.7,2025-10-18 18:10:55
212,Quickly fall west.,Coach board across style stock. Simply land change lose write week first debate.,High,2025-11-02,Dia,In Progress,UI/UX,3.7,2025-10-21 12:17:25
213,Stay wide off.,Movement morning officer baby point. Effect out true action. Knowledge wrong south way.,Low,2025-11-25,Jo,Completed,Testing,1.3,2025-10-19 03:27:44
214,Outside on identify window.,Whole if him whole throughout. Person recent dark firm.,Low,2025-11-07,Jo,On Hold,Bug Fix,3.8,2025-10-02 20:49:26
215,Mind power a pass.,Game make both. Who task such while. All recently exist short.,Medium,2025-11-22,Akin,Completed,UI/UX,3.1,2025-10-17 17:37:45
216,Office personal five.,East necessary reveal economy. Evidence build admit American heavy subject crime.,Critical,2025-11-20,Shan,In Progress,Testing,9.6,2025-10-23 22:37:19
217,Inside use agency character financial.,"What next specific save reality. Decision require nature learn.
Treatment help American.",Low,2025-11-06,Shan,On Hold,Feature,7.6,2025-10-09 14:32:02
218,Position leader under figure serious.,Admit behavior seem occur someone about. Land prove month society moment general. Campaign resource maybe question.,Medium,2025-11-19,Akin,Pending,Documentation,9.4,2025-10-29 23:19:06
219,Fill like factor then.,South resource skill. Sit see view at car population idea. Maintain level letter network toward.,Low,2025-11-16,Jo,In Progress,Bug Fix,4.5,2025-10-01 05:24:34
220,Top artist because.,Argue build drive type fire. Heart check remember entire industry trouble.,Low,2025-11-18,Dia,In Progress,UI/UX,5.3,2025-10-16 18:38:22
221,Heart management door.,Thank short single organization international. Present her care though start media. When wrong add professional ask.,Medium,2025-11-13,Jane,In Progress,Testing,1.5,2025-10-09 11:18:19
222,Case scientist nor.,Research prove safe indicate two level decade family. Actually green home whatever.,High,2025-11-10,Jo,Pending,UI/UX,2.7,2025-10-14 21:17:54
223,Business development where.,Myself company move near subject someone consider. Side total just sister wind hear. Spring evening today cultural say.,High,2025-11-06,Jo,In Progress,Bug Fix,4.2,2025-10-10 16:52:30
224,Better message meeting eye weight.,Particularly long without billion dinner chance. Bill role born wonder.,Medium,2025-11-24,Jo,On Hold,Documentation,4.2,2025-10-27 20:05:39
225,Voice only strategy.,Reach finish feeling table.,Medium,2025-11-01,Jo,Pending,Testing,8.6,2025-10-17 11:50:58
226,Health task too federal voice.,"Involve teach least material.
Main present car now. Others task simply film herself pay.",Critical,2025-11-20,Dia,Completed,Documentation,4.6,2025-10-06 21:34:06
227,Charge take.,Share media mission table and house. Challenge girl movement long central in own.,High,2025-10-31,Dia,Completed,Testing,3.7,2025-10-14 12:26:04
228,Turn growth.,Door imagine officer less beautiful school head. Choose again business rate walk.,High,2025-11-18,Jane,Pending,UI/UX,1.6,2025-10-24 18:19:54
229,Author occur available fish.,Single second thousand spring back all. Play forward stop key.,Low,2025-11-17,Jo,On Hold,Feature,5.8,2025-10-22 17:15:31
230,Picture through even.,Down value significant network son level resource start. Effect car computer you simple cost half interview.,Medium,2025-11-13,Dia,On Hold,UI/UX,6.2,2025-10-08 21:25:34
231,Population system sound culture.,Theory human soldier trouble low. Stand try others paper.,Medium,2025-10-31,Jane,Pending,UI/UX,1.9,2025-10-21 03:27:31
232,Thus avoid born interview somebody.,Worker or ability adult tree. Law discover six expert where image. Option method involve their past guy western.,Critical,2025-11-02,Akin,Pending,Feature,4.8,2025-10-16 09:31:58
233,Along including down interest.,Democratic which everything on. Organization whose know ready season. Be perform whose technology oil focus personal.,Medium,2025-11-16,Jo,On Hold,UI/UX,2.8,2025-10-29 23:42:54
234,Wait move campaign agree during.,Deal security short question. Indeed within share also evidence early article. Wonder want fish.,High,2025-11-10,Dia,Completed,Documentation,6.5,2025-10-20 17:41:53
235,Less everybody become.,Indeed draw vote everything room much. Civil position speech each sister. Girl item these discussion.,High,2025-11-22,Shan,Pending,UI/UX,3.1,2025-10-11 01:56:05
236,You pretty able others research.,Speak likely can fly. Put edge expect. Source remember serious late subject.,Critical,2025-11-22,Dia,In Progress,Documentation,6.9,2025-10-05 00:17:15
237,Clearly stock else or.,Democratic significant enjoy great. Adult light eat civil home seem eye.,Medium,2025-11-07,Shan,Completed,Testing,1.4,2025-10-10 07:20:42
238,Everyone southern its.,Include beyond over feel tough laugh. Everything once expect statement small quality bit.,Medium,2025-11-08,Jo,Pending,Feature,9.5,2025-10-19 03:24:01
239,Clear medical while spring.,Public offer war own build candidate bit. Help forward tree face few positive PM.,High,2025-11-10,Akin,In Progress,Testing,5.2,2025-10-06 08:25:02
240,Major table represent nation.,Consumer improve standard. Positive how stop enjoy. Six leg church color. Mr catch result action fish range.,Medium,2025-11-10,Dia,Pending,UI/UX,8.7,2025-10-02 11:25:21
241,Consumer concern candidate far.,Heavy material per lawyer even article upon.,Critical,2025-11-22,Shan,On Hold,Documentation,4.6,2025-10-16 00:36:11
242,Wait through pattern.,Resource loss parent high. Magazine instead somebody future wife professor happy seven.,Medium,2025-11-06,Jane,In Progress,Testing,7.1,2025-10-10 07:14:59
243,Decide create firm.,Follow response do without. News ready despite consider. Officer low face north might ten federal.,Low,2025-11-19,Akin,In Progress,Feature,9.6,2025-10-05 21:14:59
244,Economic true.,Serve determine issue put product instead cell. Future leave friend eye certain administration street.,Critical,2025-11-02,Dia,In Progress,Testing,4.1,2025-10-06 07:07:29
245,International not sell north current.,Spring popular involve. Show significant yourself bed window. The child establish part glass mouth nearly hot.,Critical,2025-11-15,Dia,Pending,Bug Fix,8.1,2025-10-12 19:29:05
246,Power attention.,Charge nature leader always cell cut. Arrive economic picture edge these short.,Critical,2025-11-19,Shan,Pending,Documentation,9.7,2025-10-28 16:46:18
247,Both record today.,Ball war member budget soon thus. Leave tax over light hair.,High,2025-11-17,Dia,On Hold,Documentation,3.6,2025-10-24 08:06:35
248,Born when eye education quickly.,Effort war bad too. Popular window watch popular pressure ground office. Cause rock modern be food whom.,Low,2025-11-22,Dia,Completed,Bug Fix,9.2,2025-10-09 06:24:28
249,Poor heart floor sport floor.,Improve election raise effort. Budget your fast cold step across.,Medium,2025-11-02,Jo,On Hold,UI/UX,9.2,2025-10-03 03:08:07
250,Institution society purpose beautiful.,Newspaper reason from arm four. Dark himself common. Art only management remain defense.,Medium,2025-11-23,Jo,On Hold,UI/UX,2.0,2025-10-27 12:13:43
251,Thing mother old discuss.,Enter doctor edge. Goal task economic writer bag. Skill American laugh detail west.,High,2025-11-07,Jo,Pending,Testing,8.4,2025-10-23 04:00:48
